name,paper width,paper height,isVert,marginT,marginL,marginB,marginR,label width,label height,spacebetweenH,spacebetweenV,isEnglishUnits
Avery 5160,8.5,11,FALSE,0.5,0.21975,0.5,0.21975,2.625,1,0,0,TRUE
9003,8.5,11,TRUE,0.5,0.4,0,0.4,0.88,2,0.94,0,TRUE
